,Cause,Type,Year,Data Redundancy,Total Deaths,Source,Page at Source,Source URL,CategorizeCause
0,Tsunami Aceh (Meninggal),Bencana Alam,2004,1,129171,Profil Kesehatan Indonesia Tahun 2004,94,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2004.pdf,Tsunami dan gempa bumi
1,Tsunami Aceh (Hilang),Bencana Alam,2004,1,37527,Profil Kesehatan Indonesia Tahun 2004,94,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2004.pdf,Tsunami dan gempa bumi
2,Kecelakaan Lalu Lintas,Bencana Non Alam dan Penyakit,2010,1,29952,Profil Kesehatan Indonesia Tahun 2011,Lampiran 3.41,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2011.pdf,Kecelakaan
3,Penyakit Sistem Sirkulasi Darah,Bencana Non Alam dan Penyakit,2008,1,23163,Profil Kesehatan Indonesia Tahun 2009,31,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2009.pdf,Penyakit sistem sirkulasi darah
4,COVID-19 (per tanggal 24/4/2021),Bencana Non Alam dan Penyakit,2021,1,22362,COVID19.go.id,,,Penyakit Nafas
5,COVID-19,Bencana Non Alam dan Penyakit,2020,1,22138,COVID19.go.id,,,Penyakit Nafas
6,Penyakit Sistem Sirkulasi Darah,Bencana Non Alam dan Penyakit,2007,1,21830,Profil Kesehatan Indonesia Tahun 2008,30,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2008.pdf,Penyakit sistem sirkulasi darah
7,Penyakit Sistem Sirkulasi Darah,Bencana Non Alam dan Penyakit,2005,1,19944,Profil Kesehatan Indonesia Tahun 2005,Lampiran 3.3.a,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2005.pdf,Penyakit sistem sirkulasi darah
8,Penyakit Sistem Sirkulasi Darah,Bencana Non Alam dan Penyakit,2006,1,19361,Profil Kesehatan Indonesia Tahun 2007,Lampiran 3.4,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2007.pdf,Penyakit sistem sirkulasi darah
9,Kecelakaan Lalu Lintas,Bencana Non Alam dan Penyakit,2009,1,18448,Profil Kesehatan Indonesia Tahun 2009,Lampiran 3.35,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2009.pdf,Kecelakaan
10,Penyakit Infeksi & Parasit Tertentu,Bencana Non Alam dan Penyakit,2008,1,16769,Profil Kesehatan Indonesia Tahun 2009,31,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2009.pdf,Penyakit Infeksi
11,Penyakit Infeksi & Parasit Tertentu,Bencana Non Alam dan Penyakit,2006,1,15984,Profil Kesehatan Indonesia Tahun 2007,Lampiran 3.4,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2007.pdf,Penyakit Infeksi
12,Penyakit Infeksi & Parasit Tertentu,Bencana Non Alam dan Penyakit,2007,1,14323,Profil Kesehatan Indonesia Tahun 2008,30,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2008.pdf,Penyakit Infeksi
13,Penyakit Infeksi & Parasit Tertentu,Bencana Non Alam dan Penyakit,2005,1,12624,Profil Kesehatan Indonesia Tahun 2005,Lampiran 3.3.a,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2005.pdf,Penyakit Infeksi
14,Tuberkulosis,Bencana Non Alam dan Penyakit,2019,1,11993,Profil Kesehatan Indonesia Tahun 2019,Lampiran 52,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/Profil-Kesehatan-Indonesia-2019.pdf,Penyakit Nafas
15,Kecelakaan Lalu Lintas,Bencana Non Alam dan Penyakit,2004,1,11204,Profil Kesehatan Indonesia Tahun 2004,Lampiran 3.19,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2004.pdf,Kecelakaan
16,Kondisi Tertentu yang bermula pada masa Perinatal,Bencana Non Alam dan Penyakit,2005,1,9873,Profil Kesehatan Indonesia Tahun 2005,Lampiran 3.3.a,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2005.pdf,Kehamilan & Persalinan
17,Kondisi Tertentu yang bermula pada masa Perinatal,Bencana Non Alam dan Penyakit,2007,1,9822,Profil Kesehatan Indonesia Tahun 2008,30,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2008.pdf,Kehamilan & Persalinan
18,Kondisi Tertentu yang bermula pada masa Perinatal,Bencana Non Alam dan Penyakit,2006,1,9567,Profil Kesehatan Indonesia Tahun 2007,Lampiran 3.4,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2007.pdf,Kehamilan & Persalinan
19,Kondisi Tertentu yang bermula pada masa Perinatal,Bencana Non Alam dan Penyakit,2008,1,9108,Profil Kesehatan Indonesia Tahun 2009,31,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2009.pdf,Kehamilan & Persalinan
20,Penyakit Sistem Napas,Bencana Non Alam dan Penyakit,2008,1,8190,Profil Kesehatan Indonesia Tahun 2009,31,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2009.pdf,Penyakit Nafas
21,Penyakit Sistem Napas,Bencana Non Alam dan Penyakit,2007,1,7214,Profil Kesehatan Indonesia Tahun 2008,30,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2008.pdf,Penyakit Nafas
22,Penyakit Sistem Cerna,Bencana Non Alam dan Penyakit,2008,1,6825,Profil Kesehatan Indonesia Tahun 2008,Lampiran 3.4,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2008.pdf,Gangguan Pencernaan
23,Penyakit Sistem Cerna,Bencana Non Alam dan Penyakit,2007,1,6590,Profil Kesehatan Indonesia Tahun 2008,30,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2008.pdf,Gangguan Pencernaan
24,Gempa Bumi,Bencana Alam,2006,1,6469,Profil Kesehatan Indonesia Tahun 2006,Lampiran 4.25,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2006.pdf,Tsunami dan gempa bumi
25,Penyakit Sistem Napas,Bencana Non Alam dan Penyakit,2006,1,6156,Profil Kesehatan Indonesia Tahun 2007,Lampiran 3.4,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2007.pdf,Penyakit Nafas
26,Penyakit Sistem Napas,Bencana Non Alam dan Penyakit,2005,1,6075,Profil Kesehatan Indonesia Tahun 2005,Lampiran 3.3.a,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2005.pdf,Penyakit Nafas
27,"Cedera, Keracunan, dan Akibat Sebab Luar Tertentu Lainnya",Bencana Non Alam dan Penyakit,2007,1,5945,Profil Kesehatan Indonesia Tahun 2008,30,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2008.pdf,Keracunan
28,Penyakit Sistem Cerna,Bencana Non Alam dan Penyakit,2005,1,5787,Profil Kesehatan Indonesia Tahun 2005,Lampiran 3.3.a,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2005.pdf,Gangguan Pencernaan
