,InvoiceNo,item_sku,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,gmv,CancelledOrder,InternationalOrders,TotalPrice
0,536367,84879,ASSORTED COLOUR BIRD ORNAMENT,32,2010-12-01 08:34:00,1.69,13047.0,United Kingdom,54.08,0,0,54.08
1,536392,84879,ASSORTED COLOUR BIRD ORNAMENT,16,2010-12-01 10:29:00,1.69,13705.0,United Kingdom,27.04,0,0,27.04
2,536395,84879,ASSORTED COLOUR BIRD ORNAMENT,32,2010-12-01 10:47:00,1.69,13767.0,United Kingdom,54.08,0,0,54.08
3,536408,84879,ASSORTED COLOUR BIRD ORNAMENT,8,2010-12-01 11:41:00,1.69,14307.0,United Kingdom,13.52,0,0,13.52
4,536460,84879,ASSORTED COLOUR BIRD ORNAMENT,24,2010-12-01 12:22:00,1.69,14849.0,United Kingdom,40.56,0,0,40.56
5,536464,84879,ASSORTED COLOUR BIRD ORNAMENT,8,2010-12-01 12:23:00,1.69,17968.0,United Kingdom,13.52,0,0,13.52
6,536502,84879,ASSORTED COLOUR BIRD ORNAMENT,16,2010-12-01 12:36:00,1.69,16552.0,United Kingdom,27.04,0,0,27.04
7,536536,84879,ASSORTED COLOUR BIRD ORNAMENT,80,2010-12-01 13:45:00,1.69,18144.0,United Kingdom,135.2,0,0,135.2
8,536607,84879,ASSORTED COLOUR BIRD ORNAMENT,8,2010-12-02 09:29:00,1.69,17732.0,United Kingdom,13.52,0,0,13.52
9,536681,84879,ASSORTED COLOUR BIRD ORNAMENT,8,2010-12-02 12:22:00,1.69,17287.0,United Kingdom,13.52,0,0,13.52
10,536741,84879,ASSORTED COLOUR BIRD ORNAMENT,8,2010-12-02 13:11:00,1.69,13117.0,United Kingdom,13.52,0,0,13.52
11,536749,84879,ASSORTED COLOUR BIRD ORNAMENT,1,2010-12-02 13:49:00,1.69,17976.0,United Kingdom,1.69,0,0,1.69
12,536785,84879,ASSORTED COLOUR BIRD ORNAMENT,320,2010-12-02 15:22:00,1.45,15061.0,United Kingdom,464.0,0,0,464.0
13,536796,84879,ASSORTED COLOUR BIRD ORNAMENT,1,2010-12-02 15:46:00,1.69,15574.0,United Kingdom,1.69,0,0,1.69
14,536796,84879,ASSORTED COLOUR BIRD ORNAMENT,5,2010-12-02 15:46:00,1.69,15574.0,United Kingdom,8.45,0,0,8.45
15,536804,84879,ASSORTED COLOUR BIRD ORNAMENT,48,2010-12-02 16:34:00,1.69,14031.0,United Kingdom,81.12,0,0,81.12
16,536839,84879,ASSORTED COLOUR BIRD ORNAMENT,96,2010-12-02 18:25:00,1.69,15093.0,United Kingdom,162.24,0,0,162.24
17,536841,84879,ASSORTED COLOUR BIRD ORNAMENT,8,2010-12-02 18:27:00,1.69,16150.0,United Kingdom,13.52,0,0,13.52
18,536943,84879,ASSORTED COLOUR BIRD ORNAMENT,8,2010-12-03 12:11:00,1.69,17884.0,United Kingdom,13.52,0,0,13.52
19,536946,84879,ASSORTED COLOUR BIRD ORNAMENT,16,2010-12-03 12:28:00,1.69,13013.0,United Kingdom,27.04,0,0,27.04
20,537036,84879,ASSORTED COLOUR BIRD ORNAMENT,8,2010-12-03 17:28:00,1.69,15545.0,United Kingdom,13.52,0,0,13.52
21,537055,84879,ASSORTED COLOUR BIRD ORNAMENT,16,2010-12-05 11:45:00,1.69,16814.0,United Kingdom,27.04,0,0,27.04
22,537131,84879,ASSORTED COLOUR BIRD ORNAMENT,16,2010-12-05 12:26:00,1.69,15716.0,United Kingdom,27.04,0,0,27.04
23,537137,84879,ASSORTED COLOUR BIRD ORNAMENT,13,2010-12-05 12:43:00,1.69,16327.0,United Kingdom,21.97,0,0,21.97
24,537179,84879,ASSORTED COLOUR BIRD ORNAMENT,32,2010-12-05 13:29:00,1.69,13767.0,United Kingdom,54.08,0,0,54.08
25,537196,84879,ASSORTED COLOUR BIRD ORNAMENT,4,2010-12-05 13:55:00,1.69,15426.0,United Kingdom,6.76,0,0,6.76
26,537204,84879,ASSORTED COLOUR BIRD ORNAMENT,8,2010-12-05 14:45:00,1.69,15555.0,United Kingdom,13.52,0,0,13.52
27,537205,84879,ASSORTED COLOUR BIRD ORNAMENT,8,2010-12-05 14:52:00,1.69,13034.0,United Kingdom,13.52,0,0,13.52
28,537208,84879,ASSORTED COLOUR BIRD ORNAMENT,8,2010-12-05 15:12:00,1.69,15889.0,United Kingdom,13.52,0,0,13.52
29,537210,84879,ASSORTED COLOUR BIRD ORNAMENT,8,2010-12-05 15:15:00,1.69,15953.0,United Kingdom,13.52,0,0,13.52
30,537215,84879,ASSORTED COLOUR BIRD ORNAMENT,16,2010-12-05 15:38:00,1.69,12747.0,United Kingdom,27.04,0,0,27.04
