,InvoiceDate,item_sku,Quantity,TotalPrice,Week,Weekday,Day,UnitPrice
1,2010-12-01,22086,219,566.05,48,2,1,2.5847031963470317
2,2010-12-01,22386,42,81.9,48,2,1,1.9500000000000002
3,2010-12-01,22423,28,328.2,48,2,1,11.721428571428572
4,2010-12-01,79321,272,1079.04,48,2,1,3.9670588235294115
5,2010-12-01,84879,216,365.03999999999996,48,2,1,1.6899999999999997
6,2010-12-02,21137,73,247.83,48,3,2,3.394931506849315
7,2010-12-02,22086,129,364.55,48,3,2,2.825968992248062
8,2010-12-02,22386,23,44.85,48,3,2,1.95
10,2010-12-02,79321,56,243.6,48,3,2,4.35
11,2010-12-02,84879,503,773.27,48,3,2,1.5373161033797216
12,2010-12-03,22086,30,88.50000000000001,48,4,3,2.9500000000000006
13,2010-12-03,22386,20,39.0,48,4,3,1.95
15,2010-12-03,47566,5,23.25,48,4,3,4.65
16,2010-12-03,79321,157,676.35,48,4,3,4.307961783439491
17,2010-12-03,84879,32,54.08,48,4,3,1.69
18,2010-12-05,21137,24,81.36,48,6,5,3.39
19,2010-12-05,22086,133,360.35,48,6,5,2.7093984962406017
20,2010-12-05,22386,17,33.15,48,6,5,1.95
21,2010-12-05,22423,92,1029.0,48,6,5,11.184782608695652
22,2010-12-05,47566,8,37.2,48,6,5,4.65
23,2010-12-05,79321,82,355.5,48,6,5,4.335365853658536
24,2010-12-05,84879,129,218.01,48,6,5,1.69
26,2010-12-06,22086,159,437.05,49,0,6,2.74874213836478
27,2010-12-06,22386,11,21.45,49,0,6,1.95
28,2010-12-06,22423,43,548.25,49,0,6,12.75
29,2010-12-06,47566,6,27.9,49,0,6,4.6499999999999995
30,2010-12-06,79321,39,172.05,49,0,6,4.411538461538462
31,2010-12-06,84879,114,192.66,49,0,6,1.69
32,2010-12-07,21137,4,15.0,49,1,7,3.75
33,2010-12-07,22086,175,468.25,49,1,7,2.6757142857142857
34,2010-12-07,22386,5,9.75,49,1,7,1.95
35,2010-12-07,22423,99,1118.25,49,1,7,11.295454545454545
36,2010-12-07,79321,121,514.95,49,1,7,4.255785123966943
37,2010-12-07,84879,271,419.59,49,1,7,1.5483025830258301
38,2010-12-08,21137,8,30.0,49,2,8,3.75
39,2010-12-08,22086,78,214.10000000000002,49,2,8,2.7448717948717953
40,2010-12-08,22386,212,353.4,49,2,8,1.6669811320754715
41,2010-12-08,22423,61,720.15,49,2,8,11.805737704918032
42,2010-12-08,47566,55,210.75,49,2,8,3.831818181818182
43,2010-12-08,79321,32,141.6,49,2,8,4.425
44,2010-12-08,84879,83,140.27,49,2,8,1.6900000000000002
45,2010-12-09,21137,50,170.22,49,3,9,3.4044
46,2010-12-09,22086,132,373.40000000000003,49,3,9,2.828787878787879
47,2010-12-09,22386,13,25.35,49,3,9,1.9500000000000002
48,2010-12-09,22423,75,841.05,49,3,9,11.213999999999999
49,2010-12-09,47566,57,220.05,49,3,9,3.860526315789474
50,2010-12-09,79321,56,260.4,49,3,9,4.6499999999999995
51,2010-12-09,84879,120,202.8,49,3,9,1.6900000000000002
52,2010-12-10,22086,77,211.15,49,4,10,2.7422077922077923
54,2010-12-10,79321,14,69.30000000000001,49,4,10,4.950000000000001
55,2010-12-10,84879,136,229.83999999999997,49,4,10,1.6899999999999997
56,2010-12-12,21137,7,26.25,49,6,12,3.75
57,2010-12-12,22086,60,177.0,49,6,12,2.95
58,2010-12-12,22386,4,7.8,49,6,12,1.95
59,2010-12-12,22423,53,589.3499999999999,49,6,12,11.119811320754716
60,2010-12-12,47566,20,93.0,49,6,12,4.65
61,2010-12-12,79321,1,4.95,49,6,12,4.95
62,2010-12-12,84879,25,42.25,49,6,12,1.69
63,2010-12-13,21137,48,162.72,50,0,13,3.39
64,2010-12-13,22086,191,499.45000000000005,50,0,13,2.6149214659685867
65,2010-12-13,22386,10,19.5,50,0,13,1.95
66,2010-12-13,22423,31,366.45,50,0,13,11.820967741935483
67,2010-12-13,47566,5,23.25,50,0,13,4.65
68,2010-12-13,79321,58,253.5,50,0,13,4.370689655172414
69,2010-12-13,84879,66,111.53999999999999,50,0,13,1.69
70,2010-12-14,21137,31,107.61,50,1,14,3.471290322580645
71,2010-12-14,22086,33,97.35000000000001,50,1,14,2.95
72,2010-12-14,22386,11,21.45,50,1,14,1.95
73,2010-12-14,22423,22,251.7,50,1,14,11.44090909090909
74,2010-12-14,47566,9,41.85,50,1,14,4.65
75,2010-12-14,79321,80,354.0,50,1,14,4.425
76,2010-12-14,84879,228,346.92,50,1,14,1.5215789473684211
77,2010-12-15,21137,4,15.0,50,2,15,3.75
78,2010-12-15,22086,91,252.45000000000002,50,2,15,2.7741758241758245
79,2010-12-15,22386,20,39.0,50,2,15,1.95
81,2010-12-15,79321,69,307.95,50,2,15,4.463043478260869
82,2010-12-15,84879,120,202.79999999999998,50,2,15,1.69
84,2010-12-16,22086,131,346.45,50,3,16,2.6446564885496184
85,2010-12-16,22386,40,78.0,50,3,16,1.95
86,2010-12-16,22423,63,716.8499999999999,50,3,16,11.378571428571426
87,2010-12-16,47566,5,23.25,50,3,16,4.65
88,2010-12-16,79321,328,1313.6,50,3,16,4.004878048780488
89,2010-12-16,84879,160,258.88,50,3,16,1.6179999999999999
90,2010-12-17,21137,11,41.25,50,4,17,3.75
91,2010-12-17,22086,3,8.850000000000001,50,4,17,2.9500000000000006
92,2010-12-17,22386,20,39.0,50,4,17,1.95
93,2010-12-17,22423,97,1092.75,50,4,17,11.265463917525773
94,2010-12-17,79321,24,102.0,50,4,17,4.25
95,2010-12-17,84879,16,27.04,50,4,17,1.69
96,2010-12-19,22386,1,1.95,50,6,19,1.95
97,2010-12-19,22423,16,204.0,50,6,19,12.75
98,2010-12-19,47566,5,23.25,50,6,19,4.65
