label,tweet
sadness,"pacaran, isinya foto2 selfie aktivitas pacar, penunjang ldr.. pacarnya hilang, foto-foto diganti foto pencitraan orang kerja lapangan preview desain..."
sadness,"bedanya dirimu berdiam berlama, pergi jauh, mengabaikan permasalahan datang. pernyataan ku mengakhiri. #thinkifyouhavebrain"
love,cinta sesungguhnya berasal hati.. rasakan hati.. ungkapkan hati terjemahkan bait bait puisi..
happy,"terima kasih yak kakak* dijakarta n surabaya luangin meetup.. hehehehee , so off , ketemu ya balikpapan denpasar... gbu all"
sadness,"manusia salah manusia lain. diriku sebenernya. maaf ya shan, lakukan"
happy,oke terima kasih :)
fear,gempa lombok berhenti. ratusan gempa susulan pagi kemarin. bayangin gimana rangorang sekarang. nyenyak tidurnya cemas.
love,"cinta sejati mencintai orang lain, tersenyum, berkata: bahagia untukmu. mencintai seseorang,:))~"
happy,"angka 24 digantikan angka baru, welcome 25th. semoga angka-angka cermin pelajaran menyongsong baik. berharap kebahagiaan kedamaian menyertai angka"
happy,"tranquility base hotel + casino - arctic monkeys (2018) album am kemaren, lagu2nya intimidating seducing vibe nya 70s italian vampire gangster wkwk. suka four out of five, batphone, golden trunks"
anger,"yaelahh partai sapi ? kelon ? junjungan kaga nyali kalah ahok berani hadapi kasus. lebaran jik, pulanglah... kaga peler"
happy,"negara tersisa perhelatan turnamen akbar memiliki taktik kunci masing-masing. jamak berharap juara fifa world cup 2018, belgia dianggap tim percontohan bonus demografi. dan, ucapkan selamat pep, saja."
anger,pose atribut laknat se-indonesia komunis liberal antek aseng cc
happy,"hehe. yamungkin kerasa kek thanos , 6 batu cincin makasih looo diucapin sahur"
sadness,"terjebak ujian sama, ujian merindukanmu siapa2. kerinduan menguji bertindak apa2. tau, (yg ku maksud kamu) menguras hati"
sadness,group keluarga membicarakan mudik. duuh mudik. daya suami libur 4 h lebaran. telepon disuruh masuk. 2 habis sholat eid langsung kerja
happy,"pembayaran upah pkt ds madurejo pasirian lumajang, masy tersenyum bahagia #padatkaryatunai # tppijatim #tppilumajang"
happy,"menikmati sendiriku maraton drakor. ""about time"" mengajariku gimana sisa hidup menghargai terkecil sadari acuhkan. orang sayang contohnya :)"
happy,"ini, ya tanggal 23 juli dimana sangatsangat special.. makasih mamih, makasih uwa, makasih kakek, makasih"
sadness,"iphone 7 plus, restart sendiri, kadang kadang bootloop masuk system , dimatikan lama, kadang masuk system. bruh"
happy,"sukadeh teman ngetweet konten2 ""berwawasan"" , dunia nyata share ilmu... nyinyiran & kritikan bermanfaat & nyambung ngomongnya... bahas lamtur & lipen"
anger,asli loh editan om kupas wilayah nya hukum keselamatan warga parungpanjang nomor sekiankan.. sih om bermain sini..?
happy,"mah sms dosen kudu memikirkan kata-kata biar sopan takut salah ngomong, pas lulus mah kaya teman sih wkwkw gimana ketua kelas"
sadness,"mengatur otak orang, menjaga hati orang. disaat berniat menghasut orang membenci kita, berhasil. ya sudah. terima terhasut layak teman"
anger,bullshit! semua. #rakyat #penentu . nasib #indonesia tokoh #elit tokoh #parpol kekuatan rakyat
love,"buku pulpen, membawa buku saja. lantas pulpen tinggalkan dijadikan alat tulis bertamu nanti."
happy,"bikin charity free iftar in the hospital bareng teman-teman alumni al-azhar menganti (gresik). gerakan kasih menu buka puasa bt keluarga pasien rumah sakit. tambahin senyum doain sesuai kewajiban muslim :) terima donasi ya, rek!"
happy,"wuih cadassss. teman kantor odp ini, terbebas denda ikatan dinas 5 tahunnya. mantap kali nunggu"
